Timestamp (UTC)	Timestamp (ms)	Comp1 time	Latitude	Longitude	Altitude
2016-11-09 19:32:47.065	1478719967065	19:32:47.000	35.76504	-120.76937	217.2855
2016-11-09 19:32:48.069	1478719968069	19:32:48.000	35.76506	-120.76937	217.31418
2016-11-09 19:32:49.073	1478719969073	19:32:49.000	35.765076	-120.76936	217.34
2016-11-09 19:32:50.075	1478719970075	19:32:50.000	35.76509	-120.76936	217.36523
2016-11-09 19:32:51.074	1478719971074	19:32:51.000	35.765102	-120.769356	217.38934
2016-11-09 19:32:52.058	1478719972058	19:32:52.000	35.765118	-120.76935	217.41138
2016-11-09 19:32:53.064	1478719973064	19:32:53.000	35.765133	-120.76934	217.43306
2016-11-09 19:32:54.1	1478719974100	19:32:54.000	35.765152	-120.76933	217.45415
2016-11-09 19:32:55.082	1478719975082	19:32:55.000	35.765167	-120.769325	217.47069
2016-11-09 19:32:56.09	1478719976090	19:32:56.000	35.765186	-120.76932	217.48376
2016-11-09 19:32:57.06	1478719977060	19:32:57.000	35.7652	-120.76931	217.49828
2016-11-09 19:32:58.087	1478719978087	19:32:58.000	35.76522	-120.7693	217.51414
2016-11-09 19:32:59.079	1478719979079	19:32:59.000	35.765232	-120.769295	217.53302
2016-11-09 19:33:00.074	1478719980074	19:33:00.000	35.76524	-120.76927	217.55432
2016-11-09 19:33:01.077	1478719981077	19:33:01.000	35.765255	-120.76925	217.58035
2016-11-09 19:33:02.088	1478719982088	19:33:02.000	35.765266	-120.769226	217.60286
2016-11-09 19:33:03.08	1478719983080	19:33:03.000	35.76527	-120.76921	217.62788
2016-11-09 19:33:04.066	1478719984066	19:33:04.000	35.76527	-120.76919	217.65263
2016-11-09 19:33:05.081	1478719985081	19:33:05.000	35.76527	-120.769165	217.67253
2016-11-09 19:33:06.082	1478719986082	19:33:06.000	35.765266	-120.76915	217.6923
2016-11-09 19:33:07.102	1478719987102	19:33:07.000	35.765263	-120.769135	217.7109
2016-11-09 19:33:08.108	1478719988108	19:33:08.000	35.76526	-120.76912	217.73181
2016-11-09 19:33:09.08	1478719989080	19:33:09.000	35.76525	-120.769104	217.75409
2016-11-09 19:33:10.07	1478719990070	19:33:10.000	35.76524	-120.76909	217.77727
2016-11-09 19:33:11.094	1478719991094	19:33:11.000	35.765232	-120.76907	217.80205
2016-11-09 19:33:12.087	1478719992087	19:33:12.000	35.76523	-120.76907	217.82332
2016-11-09 19:33:13.073	1478719993073	19:33:13.000	35.76522	-120.76906	217.84593
2016-11-09 19:33:14.078	1478719994078	19:33:14.000	35.76521	-120.76904	217.86879
2016-11-09 19:33:15.075	1478719995075	19:33:15.000	35.765198	-120.769035	217.89238
2016-11-09 19:33:16.088	1478719996088	19:33:16.000	35.765182	-120.76902	217.91568
2016-11-09 19:33:17.092	1478719997092	19:33:17.000	35.765167	-120.769005	217.94011
